origin,samples,positives,positive_rate,mean_probability,median_probability,mean_positive_probability,mean_negative_probability
11,13693,245,0.01789235375739429,0.16786703133348554,0.055842671691399295,0.33536012823209777,0.16481558808986865
12,13693,230,0.016796903527349742,0.16798025298703836,0.055842671691399295,0.3347638892945234,0.1651309447830184
13,13693,200,0.014606003067260644,0.167967833970319,0.055842671691399295,0.3342744824660065,0.16550275358055117
14,13693,167,0.012196012561162638,0.16800386008845336,0.055937364379221505,0.3423406505465402,0.16585139490979742
15,13693,132,0.009639962024392025,0.1678426281953369,0.055842671691399295,0.34443746460047636,0.16612369018151213
16,13693,99,0.007229971518294019,0.167634637198566,0.055842671691399295,0.32910511717052016,0.16645870829484205
17,13693,64,0.004673920981523406,0.16737484381209994,0.055842671691399295,0.30645565370688915,0.16672173853414363
