table,size_bytes,row_count,column_count,columns
parkwork.csv,3016706,2554,105,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|PVE_FORMS|PMONTH|PMONTHNAME|PHOUR|PHOURNAME|PMINUTE|PMINUTENAME|PHARM_EV|PHARM_EVNAME|PMAN_COLL|PMAN_COLLNAME|PNUMOCCS|PNUMOCCSNAME|PTYPE|PTYPENAME|PHIT_RUN|PHIT_RUNNAME|PVIN|PVINNAME|PMODYEAR|PMODYEARNAME|PVPICMAKE|PVPICMAKENAME|PVPICMODEL|PVPICMODELNAME|PVPICBODYCLASS|PVPICBODYCLASSNAME|PMAKE|PMAKENAME|PMODEL|PBODYTYP|PBODYTYPNAME|PICFINALBODY|PICFINALBODYNAME|PGVWR_FROM|PGVWR_FROMNAME|PGVWR_TO|PGVWR_TONAME|PTRAILER|PTRAILERNAME|PTRLR1VIN|PTRLR1VINNAME|PTRLR2VIN|PTRLR2VINNAME|PTRLR3VIN|PTRLR3VINNAME|PTRLR1GVWR|PTRLR1GVWRNAME|PTRLR2GVWR|PTRLR2GVWRNAME|PTRLR3GVWR|PTRLR3GVWRNAME|PMCARR_ID|PMCARR_IDNAME|PMCARR_I1|PMCARR_I1NAME|PMCARR_I2|PMCARR_I2NAME|PV_CONFIG|PV_CONFIGNAME|PCARGTYP|PCARGTYPNAME|PHAZ_INV|PHAZ_INVNAME|PHAZPLAC|PHAZPLACNAME|PHAZ_ID|PHAZ_IDNAME|PHAZ_CNO|PHAZ_CNONAME|PHAZ_REL|PHAZ_RELNAME|PBUS_USE|PBUS_USENAME|PSP_USE|PSP_USENAME|PEM_USE|PEM_USENAME|PUNDEROVERRIDE|PUNDEROVERRIDENAME|PIMPACT1|PIMPACT1NAME|PVEH_SEV|PVEH_SEVNAME|PTOWED|PTOWEDNAME|PM_HARM|PM_HARMNAME|PFIRE|PFIRENAME|PMAK_MOD|PMAK_MODNAME
pbtype.csv,2993241,5211,54,CASENUM|VEH_NO|PER_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|PBAGE|PBAGENAME|PBSEX|PBSEXNAME|PBPTYPE|PBPTYPENAME|PBCWALK|PBCWALKNAME|PBSWALK|PBSWALKNAME|PBSZONE|PBSZONENAME|PEDCTYPE|PEDCTYPENAME|BIKECTYPE|BIKECTYPENAME|PEDLOC|PEDLOCNAME|BIKELOC|BIKELOCNAME|PEDPOS|PEDPOSNAME|BIKEPOS|BIKEPOSNAME|PEDDIR|PEDDIRNAME|BIKEDIR|BIKEDIRNAME|MOTDIR|MOTDIRNAME|MOTMAN|MOTMANNAME|PEDLEG|PEDLEGNAME|PEDSNR|PEDSNRNAME|PEDCGP|PEDCGPNAME|BIKECGP|BIKECGPNAME
person.csv,152458527,126159,112,CASENUM|VE_FORMS|VEH_NO|PER_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|MONTH|MONTHNAME|HOUR|HOURNAME|MINUTE|MINUTENAME|HARM_EV|HARM_EVNAME|MAN_COLL|MAN_COLLNAME|SCH_BUS|SCH_BUSNAME|MOD_YEAR|MOD_YEARNAME|VPICMAKE|VPICMAKENAME|VPICMODEL|VPICMODELNAME|VPICBODYCLASS|VPICBODYCLASSNAME|MAKE|MAKENAME|BODY_TYP|BODY_TYPNAME|ICFINALBODY|ICFINALBODYNAME|GVWR_FROM|GVWR_FROMNAME|GVWR_TO|GVWR_TONAME|TOW_VEH|TOW_VEHNAME|AGE|AGENAME|AGE_IM|AGE_IMNAME|SEX|SEXNAME|SEX_IM|SEX_IMNAME|PER_TYP|PER_TYPNAME|DEVTYPE|DEVTYPENAME|DEVMOTOR|DEVMOTORNAME|INJ_SEV|INJ_SEVNAME|INJSEV_IM|INJSEV_IMNAME|SEAT_POS|SEAT_POSNAME|SEAT_IM|SEAT_IMNAME|REST_USE|REST_USENAME|REST_MIS|REST_MISNAME|HELM_USE|HELM_USENAME|HELM_MIS|HELM_MISNAME|AIR_BAG|AIR_BAGNAME|EJECTION|EJECTIONNAME|EJECT_IM|EJECT_IMNAME|DRINKING|DRINKINGNAME|PERALCH_IM|PERALCH_IMNAME|ALC_STATUS|ALC_STATUSNAME|ATST_TYP|ATST_TYPNAME|ALC_RES|ALC_RESNAME|DRUGS|DRUGSNAME|HOSPITAL|HOSPITALNAME|STR_VEH|LOCATION|LOCATIONNAME|SPEC_USE|SPEC_USENAME|EMER_USE|EMER_USENAME|ROLLOVER|ROLLOVERNAME|IMPACT1|IMPACT1NAME|FIRE_EXP|FIRE_EXPNAME|MAK_MOD|MAK_MODNAME
personrf.csv,21897433,126167,16,CASENUM|VEH_NO|PER_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|PERSONRF|PERSONRFNAME
pvehiclesf.csv,416826,2554,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|PVEHICLESF|PVEHICLESFNAME
safetyeq.csv,1219833,5249,26,CASENUM|VEH_NO|PER_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|NMHELMET|NMHELMETNAME|NMPROPAD|NMPROPADNAME|NMOTHPRO|NMOTHPRONAME|NMREFCLO|NMREFCLONAME|NMLIGHT|NMLIGHTNAME|NMOTHPRE|NMOTHPRENAME
vehicle.csv,164415942,90641,167,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VE_FORMS|MONTH|MONTHNAME|HOUR|HOURNAME|MINUTE|MINUTENAME|HARM_EV|HARM_EVNAME|MAN_COLL|MAN_COLLNAME|NUMOCCS|NUMOCCSNAME|UNITTYPE|UNITTYPENAME|HIT_RUN|HIT_RUNNAME|VIN|VINNAME|MOD_YEAR|MOD_YEARNAME|MDLYR_IM|MDLYR_IMNAME|VPICMAKE|VPICMAKENAME|VPICMODEL|VPICMODELNAME|VPICBODYCLASS|VPICBODYCLASSNAME|MAKE|MAKENAME|MODEL|BODY_TYP|BODY_TYPNAME|ICFINALBODY|ICFINALBODYNAME|GVWR_FROM|GVWR_FROMNAME|GVWR_TO|GVWR_TONAME|TOW_VEH|TOW_VEHNAME|TRLR1VIN|TRLR1VINNAME|TRLR2VIN|TRLR2VINNAME|TRLR3VIN|TRLR3VINNAME|TRLR1GVWR|TRLR1GVWRNAME|TRLR2GVWR|TRLR2GVWRNAME|TRLR3GVWR|TRLR3GVWRNAME|J_KNIFE|J_KNIFENAME|MCARR_ID|MCARR_IDNAME|MCARR_I1|MCARR_I1NAME|MCARR_I2|MCARR_I2NAME|V_CONFIG|V_CONFIGNAME|CARGO_BT|CARGO_BTNAME|HAZ_INV|HAZ_INVNAME|HAZ_PLAC|HAZ_PLACNAME|HAZ_ID|HAZ_IDNAME|HAZ_CNO|HAZ_CNONAME|HAZ_REL|HAZ_RELNAME|BUS_USE|BUS_USENAME|SPEC_USE|SPEC_USENAME|EMER_USE|EMER_USENAME|TRAV_SP|TRAV_SPNAME|UNDEROVERRIDE|UNDEROVERRIDENAME|ROLLOVER|ROLLOVERNAME|ROLINLOC|ROLINLOCNAME|IMPACT1|IMPACT1NAME|IMPACT1_IM|IMPACT1_IMNAME|DEFORMED|DEFORMEDNAME|TOWED|TOWEDNAME|M_HARM|M_HARMNAME|VEVENT_IM|VEVENT_IMNAME|FIRE_EXP|FIRE_EXPNAME|DR_PRES|DR_PRESNAME|MAX_VSEV|MAX_VSEVNAME|MXVSEV_IM|MXVSEV_IMNAME|NUM_INJV|NUM_INJVNAME|NUMINJ_IM|NUMINJ_IMNAME|VEH_ALCH|VEH_ALCHNAME|V_ALCH_IM|V_ALCH_IMNAME|MAK_MOD|MAK_MODNAME|DR_ZIP|DR_ZIPNAME|SPEEDREL|SPEEDRELNAME|VTRAFWAY|VTRAFWAYNAME|VNUM_LAN|VNUM_LANNAME|VSPD_LIM|VSPD_LIMNAME|VALIGN|VALIGNNAME|VPROFILE|VPROFILENAME|VSURCOND|VSURCONDNAME|VTRAFCON|VTRAFCONNAME|VTCONT_F|VTCONT_FNAME|P_CRASH1|P_CRASH1NAME|PCRASH1_IM|PCRASH1_IMNAME|P_CRASH2|P_CRASH2NAME|P_CRASH3|P_CRASH3NAME|PCRASH4|PCRASH4NAME|PCRASH5|PCRASH5NAME|ACC_TYPE|ACC_TYPENAME
vehiclesf.csv,15528659,90641,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VEHICLESF|VEHICLESFNAME
vevent.csv,30034486,125797,24,CASENUM|EVENTNUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VEVENTNUM|VNUMBER1|AOI1|AOI1NAME|SOE|SOENAME|VNumber2|VNumber2NAME|AOI2|AOI2NAME
violatn.csv,17142530,97551,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VIOLATION|VIOLATIONNAME
vision.csv,16471126,90668,15,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VISION|VISIONNAME
vpicdecode.csv,67183737,77959,202,CASENUM|VEH_NO|VEHICLEDESCRIPTOR|VINDECODEDON|VINDECODEERROR|VEHICLETYPEID|VEHICLETYPE|MANUFACTURERFULLNAMEID|MANUFACTURERFULLNAME|MAKEID|MAKE|MODELID|MODEL|MODELYEAR|SERIES|TRIM|SERIES2|TRIM2|PLANTCOUNTRYID|PLANTCOUNTRY|PLANTSTATE|PLANTCITY|PLANTCOMPANYNAME|DESTINATIONMARKETID|DESTINATIONMARKET|BASEPRICE|NONLANDUSEID|NONLANDUSE|NOTE|BODYCLASSID|BODYCLASS|DOORSCOUNT|WINDOWS|WHEELBASETYPEID|WHEELBASETYPE|TRACKWIDTHIN|GROSSVEHICLEWEIGHTRATINGFROMID|GROSSVEHICLEWEIGHTRATINGFROM|GROSSVEHICLEWEIGHTRATINGTOID|GROSSVEHICLEWEIGHTRATINGTO|GROSSCOMBWEIGHTRATINGFROMID|GROSSCOMBWEIGHTRATINGFROM|GROSSCOMBWEIGHTRATINGTOID|GROSSCOMBWEIGHTRATINGTO|CURBWEIGHTLB|WHEELBASEIN_FROM|WHEELBASEIN_TO|WHEELSCOUNT|WHEELSIZEFRONTIN|WHEELSIZEREARIN|TRUCKBODYCABTYPEID|TRUCKBODYCABTYPE|TRUCKBEDTYPEID|TRUCKBEDTYPE|TRUCKBEDLENGTHIN|BUSTYPEID|BUSTYPE|BUSFLOORCONFIGURATIONTYPEID|BUSFLOORCONFIGURATIONTYPE|BUSLENGTHFT|OTHERBUSINFO|CUSTOMMOTORCYCLETYPEID|CUSTOMMOTORCYCLETYPE|MOTORCYCLESUSPENSIONTYPEID|MOTORCYCLESUSPENSIONTYPE|MOTORCYCLECHASSISTYPEID|MOTORCYCLECHASSISTYPE|OTHERMOTORCYCLEINFO|STEERINGLOCATIONID|STEERINGLOCATION|ENTERTAINMENTSYSTEMID|ENTERTAINMENTSYSTEM|SEATSCOUNT|SEATROWSCOUNT|TRANSMISSIONSPEEDS|TRANSMISSIONSTYLEID|TRANSMISSIONSTYLE|DRIVETYPEID|DRIVETYPE|AXLESCOUNT|AXLECONFIGURATIONID|AXLECONFIGURATION|BRAKESYSTEMTYPEID|BRAKESYSTEMTYPE|BRAKESYSTEMDESC|EVDRIVEUNITID|EVDRIVEUNIT|BATTERYKWH_FROM|BATTERYKWH_TO|BATTERYV_FROM|BATTERYV_TO|BATTERYA_FROM|BATTERYA_TO|BATTERYPACKSPERVEHICLE|BATTERYMODULESPERPACK|BATTERYCELLSPERMODULE|BATTERYTYPEID|BATTERYTYPE|OTHERBATTERYINFO|CHARGERLEVELID|CHARGERLEVEL|CHARGERPOWERKW|ENGINEMANUFACTURER|ENGINEMODEL|ENGINECONFIGURATIONID|ENGINECONFIGURATION|ENGINEPOWERKW|ENGINESTROKECYCLES|ENGINECYLINDERSCOUNT|ENGINEBRAKEHP_FROM|ENGINEBRAKEHP_TO|ENGINECOOLINGTYPEID|ENGINECOOLINGTYPE|DISPLACEMENTCI|DISPLACEMENTCC|DISPLACEMENTL|FUELTYPEPRIMARYID|FUELTYPEPRIMARY|FUELTYPESECONDARYID|FUELTYPESECONDARY|FUELDELIVERYINJECTIONTYPEID|FUELDELIVERYINJECTIONTYPE|ENGINEVALVETRAINDESIGNID|ENGINEVALVETRAINDESIGN|ENGINEELECTRIFICATIONLEVELID|ENGINEELECTRIFICATIONLEVEL|ENGINETURBOID|ENGINETURBO|TOPSPEEDMPH|OTHERENGINEINFO|SEATBELTTYPEID|SEATBELTTYPE|PRETENSIONERID|PRETENSIONER|AIRBAGLOCFRONTID|AIRBAGLOCFRONT|AIRBAGLOCKNEEID|AIRBAGLOCKNEE|AIRBAGLOCSIDEID|AIRBAGLOCSIDE|AIRBAGLOCCURTAINID|AIRBAGLOCCURTAIN|AIRBAGLOCSEATCUSHIONID|AIRBAGLOCSEATCUSHION|OTHERRESTRAINTSYSTEMINFO|FORWARDCOLLISIONWARNINGID|FORWARDCOLLISIONWARNING|DYNAMICBRAKESUPPORTID|DYNAMICBRAKESUPPORT|CRASHIMMINENTBRAKINGID|CRASHIMMINENTBRAKING|PEDESTRIANAUTOEMERGENCYBRAKINGID|PEDESTRIANAUTOEMERGENCYBRAKING|BLINDSPOTWARNINGID|BLINDSPOTWARNING|BLINDSPOTINTERVENTIONID|BLINDSPOTINTERVENTION|LANEDEPARTUREWARNINGID|LANEDEPARTUREWARNING|LANEKEEPINGASSISTANCEID|LANEKEEPINGASSISTANCE|LANECENTERINGASSISTANCEID|LANECENTERINGASSISTANCE|BACKUPCAMERAID|BACKUPCAMERA|REARCROSSTRAFFICALERTID|REARCROSSTRAFFICALERT|REARAUTOMATICEMERGENCYBRAKINGID|REARAUTOMATICEMERGENCYBRAKING|PARKASSISTID|PARKASSIST|DAYTIMERUNNINGLIGHTID|DAYTIMERUNNINGLIGHT|HEADLAMPLIGHTSOURCEID|HEADLAMPLIGHTSOURCE|SEMIAUTOHEADLAMPBEAMSWITCHINGID|SEMIAUTOHEADLAMPBEAMSWITCHING|ADAPTIVEDRIVINGBEAMID|ADAPTIVEDRIVINGBEAM|ADAPTIVECRUISECONTROLID|ADAPTIVECRUISECONTROL|ANTILOCKBRAKESYSTEMID|ANTILOCKBRAKESYSTEM|ELECTRONICSTABILITYCONTROLID|ELECTRONICSTABILITYCONTROL|TPMSID|TPMS|AUTOMATICCRASHNOTIFICATIONID|AUTOMATICCRASHNOTIFICATION|EVENTDATARECORDERID|EVENTDATARECORDER|TRACTIONCONTROLID|TRACTIONCONTROL|AUTOPEDESTRIANALERTINGSOUNDID|AUTOPEDESTRIANALERTINGSOUND|KEYLESSIGNITIONID|KEYLESSIGNITION|SAEAUTOMATIONLEVEL_FROM|SAEAUTOMATIONLEVEL_TO|AUTOREVERSESYSTEMID|AUTOREVERSESYSTEM|ACTIVESAFETYSYSNOTE
vpictrailerdecode.csv,185561,628,40,CASENUM|VEH_NO|TRAILER_NO|VEHICLEDESCRIPTOR|VINDECODEDON|VINDECODEERROR|VEHICLETYPEID|VEHICLETYPE|MANUFACTURERFULLNAMEID|MANUFACTURERFULLNAME|MAKEID|MAKE|MODELID|MODEL|MODELYEAR|SERIES|TRIM|PLANTCOUNTRYID|PLANTCOUNTRY|PLANTSTATE|PLANTCITY|PLANTCOMPANYNAME|NONLANDUSEID|NONLANDUSE|NOTE|BODYCLASSID|BODYCLASS|GROSSVEHICLEWEIGHTRATINGFROMID|GROSSVEHICLEWEIGHTRATINGFROM|GROSSVEHICLEWEIGHTRATINGTOID|GROSSVEHICLEWEIGHTRATINGTO|TRAILERBODYTYPEID|TRAILERBODYTYPE|TRAILERTYPECONNECTIONID|TRAILERTYPECONNECTION|TRAILERLENGTHFT|OTHERTRAILERINFO|AXLESCOUNT|AXLECONFIGURATIONID|AXLECONFIGURATION
vsoe.csv,25796593,125797,18,CASENUM|VEH_NO|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|VEVENTNUM|SOE|SOENAME|AOI|AOINAME
weather.csv,8544451,52032,14,CASENUM|PSU|PSU_VAR|PSUSTRAT|REGION|REGIONNAME|URBANICITY|URBANICITYNAME|STRATUM|STRATUMNAME|PJ|WEIGHT|WEATHER|WEATHERNAME
