scenario_id,window_count,ood_rate,mean_ood_score,median_ood_score,max_ood_score,mean_feature_z_rms,max_feature_z_rms,mean_feature_z_max,max_feature_z_max,mean_mahalanobis,max_mahalanobis,mean_temporal_delta_rms,max_temporal_delta_rms
S00_NORMAL_BASELINE,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C01_SPEED_SENSOR_SPOOFING,589,0.0730050933786078,1.8064564647942822,0.6882659243755849,31.31580025786467,0.9595847692276295,3.6247736851836994,1.0616316327125082,3.673735060650513,1.35705779488837,5.126204106119891,0.015763159031488623,0.3025674647274304
C02_BRAKE_ACCELERATOR_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C03_TORQUE_DYNAMICS_ATTACK,589,0.0730050933786078,1.2526370187015239,0.6882659243755849,16.75455043366365,0.9103371330352933,2.367364146474106,0.9954484936249155,2.416254091653355,1.2874111198703522,3.347958483019487,0.010508293022189311,0.1618793645897122
C04_HV_POWER_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C05_BATTERY_THERMAL_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C06_HV_CONTACTOR_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C07_HEARTBEAT_INTEGRITY_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C08_SEQUENCE_GATEWAY_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C09_RESTRAINT_DOMAIN_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,1.0224193081041817,0.8572527972451243,1.9299229543054928,0.92084108132043,1.9331124577101044,1.2123385322463278,2.7293232163139787,0.004642482376522225,0.0098784260786618
C10_MULTI_DOMAIN_ATTACK,589,0.0730050933786078,1.5690944857560438,0.6882659243755849,25.074874316477946,0.9383352881741454,3.08587585209652,1.0332675150120334,3.1348234560059907,1.3270064905891428,4.36408748183453,0.013510969567738979,0.2422687936384549
