dataset,year,table,variable,role,family,manual_page,expected_sas_name,actual_sas_name,format,element_values,definition,verification_status
CRSS,2024,person.csv,SEAT_POS,candidate_feature,occupant_person,523,person.SEAT_POS,Person.SEAT_POS,2 numeric,"Codes Attributes 11 Front Seat, Left Side 12 Front Seat, Middle 13 Front Seat, Right Side 18 Front Seat, Other 19 Front Seat, Unknown 21 Second Seat, Left Side 22 Second Seat, Middle 23 Second Seat, Right Side 28 Second Seat, Other 29 Second Seat, Unknown 31 Third Seat, Left Side 32 Third Seat, Middle 33 Third Seat, Right Side 38 Third Seat, Other 39 Third Seat, Unknown 41 Fourth Seat, Left Side 42 Fourth Seat, Middle 43 Fourth Seat, Right Side 48 Fourth Seat, Other 49 Fourth Seat, Unknown 50 Sleeper Section of Cab (Truck) 51 Other Passenger in enclosed passenger or cargo area 52 Other Passenger in unenclosed passenger or cargo area 53 Other Passenger in passenger or cargo area, unknown whether or not enclosed 54 Trailing Unit 55 Riding on Exterior of Vehicle 56 Appended to a Motor Vehicle for Motion 98 Not Reported",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,person.csv,REST_USE,candidate_feature,occupant_person,528,person.REST_USE,"Person.REST_USE, Person.REST_MIS",Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Subfield 1—Type of Restraint System in Use Codes Attributes 20 None Used/Not Applicable 01 Shoulder Belt Only Used 02 Lap Belt Only Used 03 Shoulder and Lap Belt Used 04 Child Restraint - Type Unknown 06 Racing-Style Harness Used 08 Restraint Used - Type Unknown 10 Child Restraint System - Forward Facing 11 Child Restraint System - Rear Facing 12 Booster Seat 97 Other 98 Not Reported 99 Reported as Unknown Subfield 2—Indication of Restraint System Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse",This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system at the time of the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,REST_MIS,candidate_feature,occupant_person,528,person.REST_MIS,"Person.REST_USE, Person.REST_MIS",Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Subfield 1—Type of Restraint System in Use Codes Attributes 20 None Used/Not Applicable 01 Shoulder Belt Only Used 02 Lap Belt Only Used 03 Shoulder and Lap Belt Used 04 Child Restraint - Type Unknown 06 Racing-Style Harness Used 08 Restraint Used - Type Unknown 10 Child Restraint System - Forward Facing 11 Child Restraint System - Rear Facing 12 Booster Seat 97 Other 98 Not Reported 99 Reported as Unknown Subfield 2—Indication of Restraint System Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse",This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system at the time of the crash.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,HELM_USE,candidate_feature,occupant_person,533,person.HELM_USE,"Person.HELM_USE, Person.HELM_MIS",Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Subfield 1—Helmet Use Codes Attributes 20 Not Applicable 17 No Helmet 05 DOT-Compliant Motorcycle Helmet 16 Helmet, Other than DOT-Compliant Motorcycle Helmet 19 Helmet, Unknown if DOT-Compliant 98 Not Reported 99 Reported as Unknown if Helmet Worn Subfield 2—Indication of Helmet Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse","This element records the helmet use and any indications of misuse of the helmet by motor vehicle occupants of NCSA BODY TYPES 80-91, 96, and 97 at the time of the crash.",VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,HELM_MIS,candidate_feature,occupant_person,533,person.HELM_MIS,"Person.HELM_USE, Person.HELM_MIS",Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Subfield 1—Helmet Use Codes Attributes 20 Not Applicable 17 No Helmet 05 DOT-Compliant Motorcycle Helmet 16 Helmet, Other than DOT-Compliant Motorcycle Helmet 19 Helmet, Unknown if DOT-Compliant 98 Not Reported 99 Reported as Unknown if Helmet Worn Subfield 2—Indication of Helmet Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse","This element records the helmet use and any indications of misuse of the helmet by motor vehicle occupants of NCSA BODY TYPES 80-91, 96, and 97 at the time of the crash.",VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,AIR_BAG,candidate_feature,occupant_person,536,person.AIR_BAG,Person.AIR_BAG,2 numeric,"Codes Attributes 01 Deployed- Front 02 Deployed- Side (door, seatback) 03 Deployed- Curtain (roof) 07 Deployed- Other (knee, air belt, etc.) 08 Deployed- Combination 09 Deployment- Unknown Location 20 Not Deployed 98 Not Reported 99 Reported as Deployment Unknown",This element is used to record air bag deployment for this person as reported in the case materials.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,EJECTION,candidate_feature,occupant_person,539,person.EJECTION,Person.EJECTION,1 numeric,Codes Attributes 0 Not Ejected 1 Totally Ejected 2 Partially Ejected 3 Ejected - Unknown Degree 7 Not Reported 8 Not Applicable 9 Reported as Unknown if Ejected,"This element describes the ejection status and degree of ejection for this person, excluding motorcycle occupants.",VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,HOSPITAL,candidate_feature,occupant_person,595,person.HOSPITAL,Person.HOSPITAL,1 numeric,Codes Attributes 0 Not Transported for Treatment 1 EMS Air 5 EMS Ground 3 EMS Unknown Mode 2 Law Enforcement 4 Transported Unknown Source 6 Other 8 Not Reported 9 Reported as Unknown,This element identifies the method of transportation this person was provided to receive treatment or be evaluated for a possible injury at the first hospital or medical facility.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,HOSPITAL,candidate_feature,occupant_person,660,person.HOSPITAL,Person.HOSPITAL,1 numeric,Codes Attributes 0 Not Transported for Treatment 1 EMS Air 5 EMS Ground 3 EMS Unknown Mode 2 Law Enforcement 4 Transported Unknown Source 6 Other 8 Not Reported 9 Reported as Unknown,This element identifies the method of transportation this person was provided to receive treatment at the first hospital or medical facility.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,person.csv,ROLLOVER,candidate_feature,occupant_person,269,person.ROLLOVER,"Vehicle.ROLLOVER, Person.ROLLOVER",1 numeric,Codes Attributes 0 No Rollover 3 Rollover 8 Not Applicable,This element identifies whether a rollover or overturn occurred during the crash involving this vehicle.,VERIFIED_SAS_NAME_AND_DEFINITION
