dataset,year,table,variable,role,family,manual_page,semantic_anchor_score,format,sas_name,element_values,definition,verification_status
CRSS,2024,person.csv,AGE,candidate_feature,occupant_person,617,3,3 numeric,Person.AGE,Codes Attributes -- Blank 000 Less than One Year 001-120 Actual Age* 998 Not Reported 999 Reported as Unknown,This element identifies the person’s age in years on the date of the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,38,0,,,,"P6 Sex FARS, CRSS This element identifies the sex of the person involved in the crash. P7 Person Type FARS, CRSS This element describes the role of this person involved in the crash. P8 Injury Severity FARS, CRSS This element describes the severity of the injury to this person in the crash. P9 Seating Position FARS, CRSS This element identifies the location of this person in or on the vehicle. P10 Restraint System Use FARS, CRSS This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system, at the time of the crash. P11 Helmet Use FARS, CRSS This element records the helmet use and any indications of misuse of the helmet by motor vehicle occupants of NCSA BODY TYPES 80-91, 96, and 97 at the time of the crash. P12 Air Bag Deployed FARS, CRSS This element is used to record air bag deployment for this person as reported in the case materials. P13 Ejection FARS, CRSS This element describes the ejection status and degree of ejection for this person, excluding motorcycle occupants. P14 Ejection Path FARS Only This element identifies the path by which this person was ejected from the vehicle. P15 Extrication FARS Only This element identifies if equipment was used to remove this person from the vehicle. P16 Police Reported Alcohol Involvement FARS, CRSS This data element reflects only the judgment of law enforcement as to whether alcohol was involved or not for this person.",DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,41,0,,,,"NM1 State Number FARS Only This element identifies the State in which the crash occurred. NM2 Consecutive Number FARS Only This element identifies the unique case number assigned by the data entry system. NM3 Person Number Case Structure This element identifies a number for people that are not in a motor vehicle in consecutive order. NM4 Vehicle Number of Motor Vehicle Striking Non- Motorist FARS, CRSS This data element captures the in- transport vehicle that made contact with this non-motorist. NM5 Age FARS, CRSS This element identifies the person’s age in years with respect to the person’s last birthday. NM6 Sex FARS, CRSS This element identifies the sex of the person involved in the crash NM7 Person Type FARS, CRSS This element describes the role of this person involved in the crash. NM8 Non-Motorist Device Type FARS, CRSS This element describes the type of transport device operated by the non-motorist. NM9 Non-Motorist Device Motorization FARS, CRSS This element describes the motorization of the device operated by the non-motorist. NM10 Injury Severity FARS, CRSS This element describes the severity of the injury to this person in the crash. NM11 Pedestrian/Bike Typing FARS, CRSS This element describes the precrash actions leading to crashes between motor vehicles and pedestrians or bicyclists. NM11 – PB27 Marked Crosswalk Present—Pedestrian (see the companion Pedestrian/ Bicyclist Manual) FARS, CRSS This element identifies if a marked crosswalk was present at the crash site.",DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,515,3,1 numeric,Person.SEX,Codes Attributes 1 Male 2 Female 8 Not Reported 9 Reported as Unknown,This element identifies the sex of the person involved in the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,SEX,candidate_feature,occupant_person,618,3,1 numeric,Person.SEX,Codes Attributes 1 Male 2 Female 8 Not Reported 9 Reported as Unknown,This element identifies the sex of the person involved in the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,INJ_SEV,candidate_target,occupant_person,519,3,1 numeric,Person.INJ_SEV,"Codes Attributes 0 No Apparent Injury (O) 1 Possible Injury (C) 2 Suspected Minor Injury (B) 3 Suspected Serious Injury (A) 4 Fatal Injury (K) 5 Injured, Severity Unknown 6 Died Prior to Crash* 9 Unknown/Not Reported",This element describes the severity of the injury to this person in the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,INJ_SEV,candidate_target,occupant_person,627,3,1 numeric,Person.INJ_SEV,"Codes Attributes 0 No Apparent Injury (O) 1 Possible Injury (C) 2 Suspected Minor Injury (B) 3 Suspected Serious Injury (A) 4 Fatal Injury (K) 5 Injured, Severity Unknown 6 Died Prior to Crash* 9 Unknown/Not Reported",This element describes the severity of the injury to this person in the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,SEAT_POS,candidate_feature,occupant_person,523,3,2 numeric,Person.SEAT_POS,"Codes Attributes 11 Front Seat, Left Side 12 Front Seat, Middle 13 Front Seat, Right Side 18 Front Seat, Other 19 Front Seat, Unknown 21 Second Seat, Left Side 22 Second Seat, Middle 23 Second Seat, Right Side 28 Second Seat, Other 29 Second Seat, Unknown 31 Third Seat, Left Side 32 Third Seat, Middle 33 Third Seat, Right Side 38 Third Seat, Other 39 Third Seat, Unknown 41 Fourth Seat, Left Side 42 Fourth Seat, Middle 43 Fourth Seat, Right Side 48 Fourth Seat, Other 49 Fourth Seat, Unknown 50 Sleeper Section of Cab (Truck) 51 Other Passenger in enclosed passenger or cargo area 52 Other Passenger in unenclosed passenger or cargo area 53 Other Passenger in passenger or cargo area, unknown whether or not enclosed 54 Trailing Unit 55 Riding on Exterior of Vehicle 56 Appended to a Motor Vehicle for Motion 98 Not Reported",,STRUCTURED_PAGE_FOUND
CRSS,2024,person.csv,REST_USE,candidate_feature,occupant_person,528,3,Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Person.REST_USE, Person.REST_MIS","Subfield 1—Type of Restraint System in Use Codes Attributes 20 None Used/Not Applicable 01 Shoulder Belt Only Used 02 Lap Belt Only Used 03 Shoulder and Lap Belt Used 04 Child Restraint - Type Unknown 06 Racing-Style Harness Used 08 Restraint Used - Type Unknown 10 Child Restraint System - Forward Facing 11 Child Restraint System - Rear Facing 12 Booster Seat 97 Other 98 Not Reported 99 Reported as Unknown Subfield 2—Indication of Restraint System Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse",This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system at the time of the crash.,DEFINITION_CONTEXT_FOUND
CRSS,2024,person.csv,REST_MIS,candidate_feature,occupant_person,528,3,Subfield 1: 2 numeric; Subfield 2: 1 numeric,"Person.REST_USE, Person.REST_MIS","Subfield 1—Type of Restraint System in Use Codes Attributes 20 None Used/Not Applicable 01 Shoulder Belt Only Used 02 Lap Belt Only Used 03 Shoulder and Lap Belt Used 04 Child Restraint - Type Unknown 06 Racing-Style Harness Used 08 Restraint Used - Type Unknown 10 Child Restraint System - Forward Facing 11 Child Restraint System - Rear Facing 12 Booster Seat 97 Other 98 Not Reported 99 Reported as Unknown Subfield 2—Indication of Restraint System Misuse? Codes Attributes 7 None Used/Not Applicable 0 No Indication of Misuse 1 Yes, Indication of Misuse",This element records the restraint equipment in use by the occupant and any indication of misuse of the available restraint system at the time of the crash.,DEFINITION_CONTEXT_FOUND
