scenario_id,rows,uncertainty_mean,uncertainty_median,uncertainty_p95,uncertainty_p99,uncertainty_max,ood_mean,ood_median,ood_p95,ood_p99,ood_max,ood_rate
C01_SPEED_SENSOR_SPOOFING,589,0.898296692331718,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,1.9700327045039128,0.8220154047012329,2.172025346755982,30.961742401123047,30.961997985839844,0.0730050933786078
C02_BRAKE_ACCELERATOR_ATTACK,589,0.8983025396925378,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,0.8259188257575237,0.8050193786621094,0.9950701951980592,1.0017329549789427,1.022169589996338,0.02037351443123939
C03_TORQUE_DYNAMICS_ATTACK,589,0.898299444322027,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,1.4175950531643802,0.8220154047012329,1.2251147747039797,16.563057022094725,16.56352996826172,0.0730050933786078
C04_HV_POWER_ATTACK,589,0.8983025396925378,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,0.8259188257575237,0.8050193786621094,0.9950701951980592,1.0017329549789427,1.022169589996338,0.02037351443123939
C05_BATTERY_THERMAL_ATTACK,589,0.8983025396925378,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,0.8259188257575237,0.8050193786621094,0.9950701951980592,1.0017329549789427,1.022169589996338,0.02037351443123939
C06_HV_CONTACTOR_ATTACK,589,0.8983025396925378,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,0.8259188257575237,0.8050193786621094,0.9950701951980592,1.0017329549789427,1.022169589996338,0.02037351443123939
C07_HEARTBEAT_INTEGRITY_ATTACK,589,0.8983037250935575,0.898282475363201,0.8984177619987814,0.8984211755644971,0.8984213978659665,164196.51921212935,0.8220154047012329,402964.275,4835564.0,4835564.0,0.0730050933786078
C08_SEQUENCE_GATEWAY_ATTACK,589,0.8983029125632485,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,14036.931338084372,0.8220154047012329,34447.60390625,413364.1875,413364.1875,0.0730050933786078
C09_RESTRAINT_DOMAIN_ATTACK,589,0.8983025396925378,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,0.8259188257575237,0.8050193786621094,0.9950701951980592,1.0017329549789427,1.022169589996338,0.02037351443123939
C10_MULTI_DOMAIN_ATTACK,589,0.8983012405957322,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,17284.963092116628,0.8220154047012329,42418.815625,509018.6875,509018.75,0.0730050933786078
S00_NORMAL_BASELINE,589,0.8983025396925378,0.8982820398137055,0.8984177619987814,0.8984211755644971,0.8984213978659665,0.8259188257575237,0.8050193786621094,0.9950701951980592,1.0017329549789427,1.022169589996338,0.02037351443123939
