scenario_id,metric,value
C03_TORQUE_DYNAMICS_ATTACK,feature_build_p99_ms,23628.374142000255
C03_TORQUE_DYNAMICS_ATTACK,window_build_mean_ms,0.7634333334560021
C03_TORQUE_DYNAMICS_ATTACK,window_build_median_ms,0.7706999999754771
C03_TORQUE_DYNAMICS_ATTACK,window_build_p95_ms,0.7853700003579434
C03_TORQUE_DYNAMICS_ATTACK,window_build_p99_ms,0.7866740003919404
C03_TORQUE_DYNAMICS_ATTACK,feature_window_mean_ms,17342.57460000011
C03_TORQUE_DYNAMICS_ATTACK,feature_window_p95_ms,22854.69504000025
C03_TORQUE_DYNAMICS_ATTACK,feature_window_p99_ms,23629.14516800024
C03_TORQUE_DYNAMICS_ATTACK,transformer_mean_ms,1.7551541666913788
C03_TORQUE_DYNAMICS_ATTACK,transformer_median_ms,1.5558000000055472
C03_TORQUE_DYNAMICS_ATTACK,transformer_p95_ms,2.606835000278806
C03_TORQUE_DYNAMICS_ATTACK,transformer_p99_ms,3.681711000281212
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_mean_ms,1.8313049999809057
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_median_ms,1.6255500001989276
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_p95_ms,2.766879999740013
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_p99_ms,3.7833379998846794
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_min_ms,0.7985000002008746
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_max_ms,4.532599999947706
C03_TORQUE_DYNAMICS_ATTACK,prediction_end_to_end_std_ms,0.5670526721014949
C03_TORQUE_DYNAMICS_ATTACK,y3_mean,0.31444672619303066
C03_TORQUE_DYNAMICS_ATTACK,y6_mean,0.9527447854479154
C03_TORQUE_DYNAMICS_ATTACK,cpu_only,True
C03_TORQUE_DYNAMICS_ATTACK,laboratory_only,True
C03_TORQUE_DYNAMICS_ATTACK,direct_actuation,False
C03_TORQUE_DYNAMICS_ATTACK,model_retraining,False
C04_HV_POWER_ATTACK,records,9000
C04_HV_POWER_ATTACK,timesteps,600
C04_HV_POWER_ATTACK,windows,589
C04_HV_POWER_ATTACK,measured_windows,120
C04_HV_POWER_ATTACK,feature_build_mean_ms,29465.821699999957
C04_HV_POWER_ATTACK,feature_build_median_ms,27866.81009999984
C04_HV_POWER_ATTACK,feature_build_p95_ms,37116.60762000002
C04_HV_POWER_ATTACK,feature_build_p99_ms,37938.81184400003
C04_HV_POWER_ATTACK,window_build_mean_ms,1.338233333323539
C04_HV_POWER_ATTACK,window_build_median_ms,1.0925999999926717
C04_HV_POWER_ATTACK,window_build_p95_ms,2.0552399999360205
C04_HV_POWER_ATTACK,window_build_p99_ms,2.140807999930985
C04_HV_POWER_ATTACK,feature_window_mean_ms,29467.159933333274
C04_HV_POWER_ATTACK,feature_window_p95_ms,37117.807179999996
C04_HV_POWER_ATTACK,feature_window_p99_ms,37939.92583600002
C04_HV_POWER_ATTACK,transformer_mean_ms,3.4734300000006137
C04_HV_POWER_ATTACK,transformer_median_ms,3.4344999999120773
C04_HV_POWER_ATTACK,transformer_p95_ms,4.246675000149479
C04_HV_POWER_ATTACK,transformer_p99_ms,5.2842270002020095
C04_HV_POWER_ATTACK,prediction_end_to_end_mean_ms,3.5788366666414126
C04_HV_POWER_ATTACK,prediction_end_to_end_median_ms,3.542499999866777
C04_HV_POWER_ATTACK,prediction_end_to_end_p95_ms,4.351209999913407
C04_HV_POWER_ATTACK,prediction_end_to_end_p99_ms,5.408918999978597
C04_HV_POWER_ATTACK,prediction_end_to_end_min_ms,2.791200000046956
C04_HV_POWER_ATTACK,prediction_end_to_end_max_ms,6.176199999572418
C04_HV_POWER_ATTACK,prediction_end_to_end_std_ms,0.5222743839606013
C04_HV_POWER_ATTACK,y3_mean,0.31444672619303066
C04_HV_POWER_ATTACK,y6_mean,0.9527447854479154
C04_HV_POWER_ATTACK,cpu_only,True
C04_HV_POWER_ATTACK,laboratory_only,True
C04_HV_POWER_ATTACK,direct_actuation,False
C04_HV_POWER_ATTACK,model_retraining,False
C05_BATTERY_THERMAL_ATTACK,records,9000
C05_BATTERY_THERMAL_ATTACK,timesteps,600
C05_BATTERY_THERMAL_ATTACK,windows,589
C05_BATTERY_THERMAL_ATTACK,measured_windows,120
C05_BATTERY_THERMAL_ATTACK,feature_build_mean_ms,27903.28590000005
C05_BATTERY_THERMAL_ATTACK,feature_build_median_ms,29069.836099999975
C05_BATTERY_THERMAL_ATTACK,feature_build_p95_ms,35878.938470000045
C05_BATTERY_THERMAL_ATTACK,feature_build_p99_ms,36484.19201400005
C05_BATTERY_THERMAL_ATTACK,window_build_mean_ms,1.6264333333613952
C05_BATTERY_THERMAL_ATTACK,window_build_median_ms,1.0000000002037268
C05_BATTERY_THERMAL_ATTACK,window_build_p95_ms,2.9151100000035512
C05_BATTERY_THERMAL_ATTACK,window_build_p99_ms,3.085341999985758
C05_BATTERY_THERMAL_ATTACK,feature_window_mean_ms,27904.912333333414
C05_BATTERY_THERMAL_ATTACK,feature_window_p95_ms,35880.151260000224
C05_BATTERY_THERMAL_ATTACK,feature_window_p99_ms,36485.23457200025
C05_BATTERY_THERMAL_ATTACK,transformer_mean_ms,2.653660833326891
C05_BATTERY_THERMAL_ATTACK,transformer_median_ms,2.5886500000069645
C05_BATTERY_THERMAL_ATTACK,transformer_p95_ms,3.319354999916868
C05_BATTERY_THERMAL_ATTACK,transformer_p99_ms,3.482269999781238
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_mean_ms,2.7374333333417176
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_median_ms,2.6734999999007414
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_p95_ms,3.4020599996665624
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_p99_ms,3.566711999887957
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_min_ms,2.392600000348466
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_max_ms,3.7545000000136497
