scenario_id,window_count,ood_rate,mean_ood_score,median_ood_score,q90_ood_score,q95_ood_score,q99_ood_score,max_ood_score
S00_NORMAL_BASELINE,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C01_SPEED_SENSOR_SPOOFING,589,0.0730050933786078,1.8064564647942822,0.6882659243755849,0.9964118367062405,1.866206547292011,31.31553544416747,31.31580025786467
C02_BRAKE_ACCELERATOR_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C03_TORQUE_DYNAMICS_ATTACK,589,0.0730050933786078,1.2526370187015239,0.6882659243755849,0.9964118367062405,1.2157110399138604,16.754055480735126,16.75455043366365
C04_HV_POWER_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C05_BATTERY_THERMAL_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C06_HV_CONTACTOR_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C07_HEARTBEAT_INTEGRITY_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C08_SEQUENCE_GATEWAY_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C09_RESTRAINT_DOMAIN_ATTACK,589,0.02037351443123939,0.6380811093799151,0.6636996611610488,0.9660162620551721,0.9950910012554849,1.0017929644440735,1.0224193081041817
C10_MULTI_DOMAIN_ATTACK,589,0.0730050933786078,1.5690944857560438,0.6882659243755849,0.9964118367062405,1.58742093531635,25.074543438378818,25.074874316477946
